District,Crop,Irrigation Method,Water Consumption (liters/hectare),Water Availability (liters/hectare)
Nagaur,Cumin,Tube Well,7440.109287349125,7803.142863322418
Udaipur,Sugarcane,Canal Irrigation,14637.844167777477,15511.197134007498
Udaipur,Mustard,Drip Irrigation,10394.764742722036,10415.612501435362
Kota,Sugarcane,Drip Irrigation,8430.653665882128,8528.423939089249
Jaipur,Wheat,Canal Irrigation,7227.499237913353,6791.917730613209
Jaipur,Maize,Tube Well,12260.0572581808,12048.593905518686
Udaipur,Opium,Tube Well,9685.957073794421,9556.337170604267
Ajmer,Fenugreek,Sprinkler Irrigation,9494.576539603175,8871.030215758707
Alwar,Guava,Tube Well,7218.176224919613,8213.088310940555
Kota,Pulses,Drip Irrigation,6031.495057106686,5062.910655856738
Bhilwara,Fenugreek,Tube Well,16090.023388301024,15361.574879392625
Kota,Fennel,Tube Well,15163.949776545729,15951.11471483061
Nagaur,Citrus,Sprinkler Irrigation,8226.828899981212,8075.078269126398
Bhilwara,Pomegranate,Canal Irrigation,7285.115977858025,7134.659692449487
Jaipur,Cumin,Tube Well,11582.777316251188,11056.277250807225
Hanumangarh,Cotton,Tube Well,13407.005540905684,13559.710247201561
Jaipur,Barley,Tube Well,12240.947529657355,11467.276268887224
Bhilwara,Opium,Drip Irrigation,6223.621394910118,6686.207760943793
Sri Ganganagar,Tomato,Drip Irrigation,9722.879825451417,9943.021043881912
Ajmer,Onion,Drip Irrigation,10936.188709956168,11014.583134843144
Nagaur,Sugarcane,Drip Irrigation,14425.183186804308,14495.249710036278
Jaipur,Onion,Tube Well,10687.56985089988,10626.034635134125
Udaipur,Citrus,Canal Irrigation,13588.230351163556,14184.676795177538
Sri Ganganagar,Oilseeds,Drip Irrigation,12472.162586544755,12667.43562453606
Sri Ganganagar,Cumin,Canal Irrigation,6194.53353646851,6140.854600376566
Kota,Cumin,Drip Irrigation,11583.422525144317,11166.928942551349
Nagaur,Wheat,Canal Irrigation,12097.01360299293,11350.656273886541
Jodhpur,Cotton,Canal Irrigation,8157.0222407862,7718.966103749178
Sri Ganganagar,Wheat,Drip Irrigation,9948.401485960647,10768.6644633189
Kota,Fenugreek,Tube Well,10101.867693715829,9452.666423690644
Ajmer,Onion,Sprinkler Irrigation,14264.932912984446,14988.961769039743
Udaipur,Mustard,Sprinkler Irrigation,10055.48157776344,10698.929113310312
Bhilwara,Citrus,Tube Well,8808.136977414795,8688.506994198258
Kota,Bajra,Canal Irrigation,7486.885654990174,7015.676646825231
Jodhpur,Barley,Sprinkler Irrigation,9033.817675819651,8986.281560491683
Bhilwara,Garlic,Sprinkler Irrigation,8554.083984697136,8965.299593861231
Bhilwara,Cotton,Sprinkler Irrigation,11870.40554016511,11739.874199504404
Sri Ganganagar,Tomato,Tube Well,12435.124833905209,13358.65027951927
Jaipur,Gram,Canal Irrigation,15411.120009045768,15274.691766280186
Sri Ganganagar,Mango,Canal Irrigation,8690.014378192613,7886.567955009886
Nagaur,Pomegranate,Tube Well,13464.636943460095,13962.818766978922
Nagaur,Bajra,Canal Irrigation,10494.503339719837,11480.9330337155
Udaipur,Garlic,Drip Irrigation,13317.78093231096,13981.159931960721
Jaipur,Citrus,Drip Irrigation,11982.041814624197,12353.04091909335
Udaipur,Maize,Canal Irrigation,8077.426145965102,7145.509671022245
Nagaur,Mustard,Drip Irrigation,14383.740020062567,14696.951057191238
Ajmer,Coriander,Drip Irrigation,10478.286254714449,9718.2404742701
Nagaur,Pulses,Tube Well,12519.903167578967,13319.697597833452
Nagaur,Oilseeds,Drip Irrigation,12962.27562212278,12468.947099896097
Bhilwara,Fenugreek,Drip Irrigation,11675.9561919122,12521.346973601596
Sri Ganganagar,Citrus,Canal Irrigation,9251.044913323145,9812.507510484633
Sri Ganganagar,Barley,Tube Well,9180.030218320873,10171.947352547115
Sri Ganganagar,Cotton,Sprinkler Irrigation,10527.813095782438,10511.256668593058
Ajmer,Coriander,Tube Well,6830.424921767177,6814.539510689893
Kota,Garlic,Tube Well,7946.718068675412,8233.394402613201
Bhilwara,Opium,Canal Irrigation,6808.763795226144,5954.602801984063
Nagaur,Cotton,Tube Well,6307.872962027843,6303.275717599063
Jaipur,Barley,Tube Well,8087.602263601358,8487.71266227881
Alwar,Cumin,Drip Irrigation,10498.58060222211,11378.402748682383
Bhilwara,Onion,Tube Well,10431.12895565772,10886.663797984018
Jodhpur,Garlic,Sprinkler Irrigation,5766.407617282097,6674.718309134388
Bhilwara,Gram,Canal Irrigation,7554.884208674378,7160.540361647178
Jaipur,Fennel,Drip Irrigation,10913.246469955668,11619.930626625724
Udaipur,Mustard,Tube Well,14618.428084360097,14198.345420582516
Ajmer,Oilseeds,Drip Irrigation,12807.006213033177,13128.474390336896
Sri Ganganagar,Opium,Tube Well,15038.43731016288,15299.671425060766
Udaipur,Onion,Drip Irrigation,13264.426181969558,13140.393680619576
Ajmer,Pulses,Drip Irrigation,7941.71651590892,8381.19458539887
Nagaur,Maize,Tube Well,9778.388588703136,10363.86693237696
Sri Ganganagar,Onion,Tube Well,14354.607312397398,13387.44388428517
Udaipur,Barley,Canal Irrigation,12064.056999034912,11149.686065941898
Jodhpur,Bajra,Tube Well,13462.229941809144,14202.630000946718
Hanumangarh,Pulses,Sprinkler Irrigation,13011.049263458935,12084.80459830501
Kota,Onion,Drip Irrigation,9389.109535118874,10225.14768677604
Jaipur,Maize,Sprinkler Irrigation,6088.111343713056,6353.434253216606
Sri Ganganagar,Gram,Tube Well,10677.835078826485,11348.539392805671
Jodhpur,Gram,Drip Irrigation,11188.69268213842,11787.043126807377
Ajmer,Mustard,Sprinkler Irrigation,11298.744093637628,11921.78615311722
Alwar,Mango,Drip Irrigation,13925.205313205743,14077.139334110712
Kota,Mango,Sprinkler Irrigation,13186.357276652687,13372.527782734382
Udaipur,Mustard,Drip Irrigation,8888.025671803898,9403.12584419177
Kota,Opium,Canal Irrigation,11498.959666396311,11376.282090504767
Nagaur,Barley,Sprinkler Irrigation,6952.117593245303,7646.851013739422
Nagaur,Pomegranate,Sprinkler Irrigation,6596.729919091738,6570.664868738965
Jaipur,Wheat,Sprinkler Irrigation,15026.547697641205,15440.030194554813
Nagaur,Sugarcane,Tube Well,10726.443363138786,11310.92479278365
Bhilwara,Opium,Sprinkler Irrigation,8538.202469741247,8817.853877205836
Hanumangarh,Tomato,Tube Well,8876.71723393254,8225.815105869964
Jaipur,Coriander,Sprinkler Irrigation,11504.132078144998,11728.231713482262
Jodhpur,Fennel,Canal Irrigation,9165.32193312486,8174.462015688475
Ajmer,Bajra,Drip Irrigation,15896.186432125534,16849.769390938305
Nagaur,Guava,Sprinkler Irrigation,9964.905628898414,10217.834119229097
Ajmer,Cotton,Drip Irrigation,8574.328370023022,9167.554313308508
Bhilwara,Onion,Sprinkler Irrigation,9196.046016577437,10041.392095496543
Jaipur,Fennel,Canal Irrigation,7892.338002521121,7761.681287059238
Udaipur,Coriander,Tube Well,5507.389543911853,5988.223313538121
Hanumangarh,Oilseeds,Sprinkler Irrigation,13466.501693711718,13436.624485760525
Jodhpur,Mustard,Sprinkler Irrigation,13394.048900718515,13579.46222524986
Udaipur,Citrus,Sprinkler Irrigation,12430.031468646672,13226.776982408981
Ajmer,Gram,Canal Irrigation,9219.919015214182,8694.155738067184
Alwar,Bajra,Tube Well,12145.254964867,11292.314397596932
Nagaur,Onion,Drip Irrigation,14985.483441980414,14275.365985904346
Nagaur,Tomato,Sprinkler Irrigation,8911.254812305679,8184.0640414671225
Ajmer,Fennel,Canal Irrigation,17321.244086806902,16725.6658683452
Kota,Barley,Drip Irrigation,10224.143883998218,9446.362425078743
Bhilwara,Tomato,Tube Well,6962.690542213025,6649.8425586717385
Sri Ganganagar,Coriander,Sprinkler Irrigation,12385.67735176741,12661.675779527417
Nagaur,Oilseeds,Sprinkler Irrigation,7360.920782614978,8074.868310049935
Bhilwara,Bajra,Tube Well,13009.001151244214,12567.34290792339
Alwar,Maize,Sprinkler Irrigation,8905.040178377934,9063.974238450932
Nagaur,Pulses,Drip Irrigation,9784.725643309239,8873.174034270807
Bhilwara,Chilli,Drip Irrigation,7943.994593089513,7732.634905631077
Jodhpur,Tomato,Tube Well,8153.305461698139,8270.279394576495
Jaipur,Opium,Tube Well,13545.892183797281,12811.316187374598
Sri Ganganagar,Maize,Drip Irrigation,5840.427811761392,6178.49902847632
Kota,Opium,Tube Well,15702.14963779067,16196.723031011275
Jaipur,Tomato,Tube Well,11319.77652598992,12068.174602034464
Alwar,Oilseeds,Canal Irrigation,12587.975049199922,12995.779175245065
Jaipur,Fennel,Drip Irrigation,9199.90530944715,9581.406586728584
Hanumangarh,Barley,Canal Irrigation,9558.028738782135,9097.607499913525
Nagaur,Garlic,Sprinkler Irrigation,14123.762281617337,13285.680364755433
Udaipur,Barley,Canal Irrigation,14467.594163163927,13689.527250616502
Udaipur,Tomato,Drip Irrigation,9820.247775633321,9170.782582006628
Hanumangarh,Opium,Drip Irrigation,12116.360419506971,12663.51143676622
Kota,Mango,Sprinkler Irrigation,10497.012717054125,10795.089517735678
Nagaur,Opium,Sprinkler Irrigation,11996.211010032272,12517.982816889817
Udaipur,Guava,Canal Irrigation,9389.20304157219,9235.061291790003
Jaipur,Mustard,Canal Irrigation,8355.334627828384,8327.788438124593
Hanumangarh,Gram,Tube Well,16041.891875639007,16398.508459483714
Hanumangarh,Sugarcane,Tube Well,13030.965986339426,13630.773720729125
Jodhpur,Bajra,Tube Well,5868.96957880922,5650.334584450589
Kota,Sugarcane,Drip Irrigation,6060.6420527993305,5612.527525216575
Kota,Onion,Sprinkler Irrigation,14543.524441226464,14584.899719939343
Jaipur,Sugarcane,Tube Well,15532.082973349306,15614.952889486189
Kota,Onion,Canal Irrigation,10318.042354230425,10793.460842087476
Jaipur,Sugarcane,Sprinkler Irrigation,6399.1276934772395,7142.715095016164
Ajmer,Chilli,Canal Irrigation,9583.46937693617,9269.054334174612
Udaipur,Onion,Tube Well,10453.945575694468,10588.448897520244
Sri Ganganagar,Oilseeds,Canal Irrigation,8110.104330938077,7853.908964119232
Sri Ganganagar,Barley,Sprinkler Irrigation,7141.194633355327,7053.0477077303285
Kota,Coriander,Sprinkler Irrigation,12121.21301596839,11691.706180362895
Kota,Opium,Sprinkler Irrigation,6816.884588086358,6050.719257693512
Udaipur,Cumin,Sprinkler Irrigation,10142.648442555907,9881.992729243528
Ajmer,Garlic,Drip Irrigation,15569.29896880499,16525.34409488322
Kota,Guava,Tube Well,11257.840334123124,10583.035550266895
Sri Ganganagar,Gram,Drip Irrigation,9338.78509862833,9337.618930303952
Kota,Tomato,Canal Irrigation,8087.025430940938,9027.325757563885
Hanumangarh,Chilli,Canal Irrigation,12395.983434896116,11987.097173223003
Sri Ganganagar,Cumin,Sprinkler Irrigation,13750.550060070625,14207.637635072353
Bhilwara,Mango,Drip Irrigation,13348.471883375982,14148.820821484678
Kota,Fenugreek,Drip Irrigation,10576.891966533269,10380.151810382242
Ajmer,Tomato,Canal Irrigation,6059.669862843155,5169.737135150896
Ajmer,Cumin,Sprinkler Irrigation,13648.766220551282,14182.956462214845
Ajmer,Wheat,Drip Irrigation,9840.984478938908,9731.900642816505
Jodhpur,Chilli,Tube Well,8180.575452259329,7816.091076591338
Nagaur,Chilli,Drip Irrigation,12873.690481459602,12595.820219754054
Kota,Opium,Tube Well,8937.405462393031,8683.067764353482
Sri Ganganagar,Guava,Canal Irrigation,8513.892562421464,8405.044644422163
Hanumangarh,Mustard,Sprinkler Irrigation,13775.396571664598,13663.837296000622
Alwar,Tomato,Canal Irrigation,8160.576332240359,8616.577673141624
Alwar,Citrus,Sprinkler Irrigation,11835.443254464697,12031.314668501418
Kota,Bajra,Canal Irrigation,10327.943841983644,11062.99548173873
Udaipur,Mustard,Tube Well,6313.8015899988595,6132.722867504108
Sri Ganganagar,Citrus,Sprinkler Irrigation,9617.676650299429,10038.170663846078
Kota,Bajra,Sprinkler Irrigation,13197.7854958558,12776.711828953421
Bhilwara,Barley,Canal Irrigation,13094.467488414506,12702.296246983575
Hanumangarh,Tomato,Sprinkler Irrigation,7756.209819548522,6761.103169464623
Sri Ganganagar,Sugarcane,Tube Well,7425.755471725851,7757.582395404465
Sri Ganganagar,Citrus,Sprinkler Irrigation,8990.539719449815,9366.226091443623
Ajmer,Wheat,Drip Irrigation,12154.897056732822,12140.997506806494
Jodhpur,Coriander,Canal Irrigation,12376.563692104013,12507.712871384838
Sri Ganganagar,Fennel,Tube Well,17852.609677112847,18489.171266347672
Udaipur,Chilli,Drip Irrigation,11449.390551345066,10775.085016708905
Jaipur,Pulses,Canal Irrigation,8241.386061855565,8627.952151478203
Udaipur,Oilseeds,Drip Irrigation,10035.753350608775,9874.781360921199
Udaipur,Barley,Canal Irrigation,8961.01820626848,9238.911256824618
Jodhpur,Chilli,Sprinkler Irrigation,11778.059541749073,11144.55453657851
Jodhpur,Coriander,Sprinkler Irrigation,11475.80445492513,12220.690723842012
Sri Ganganagar,Cotton,Canal Irrigation,5053.718621133248,5213.811904065729
Kota,Wheat,Sprinkler Irrigation,10667.136200350205,10413.16459056119
Bhilwara,Citrus,Canal Irrigation,14756.562744418328,14082.621029392692
Ajmer,Pulses,Sprinkler Irrigation,14730.462821774374,15320.676297851942
Hanumangarh,Coriander,Drip Irrigation,8766.947632428775,9599.009952488319
Jodhpur,Pulses,Drip Irrigation,10404.05606606711,10027.202997760824
Udaipur,Pulses,Tube Well,12711.245456060911,12906.542734869283
Udaipur,Oilseeds,Canal Irrigation,6418.676335180277,7047.824552002974
Ajmer,Pulses,Sprinkler Irrigation,11100.780180603755,10715.636827936425
Ajmer,Pulses,Drip Irrigation,9422.358174186735,9948.405549746985
Jodhpur,Mustard,Drip Irrigation,11680.436061574252,12195.104130329632
Jaipur,Bajra,Drip Irrigation,6705.033459263387,7024.611145952871
Nagaur,Barley,Tube Well,7677.250651736623,7183.275594183592
Jodhpur,Sugarcane,Drip Irrigation,12490.850387847267,13055.59201607381
Nagaur,Bajra,Sprinkler Irrigation,7692.338336010403,7395.405668952577
Jodhpur,Pulses,Canal Irrigation,12432.999360909389,12128.672444456195
Kota,Chilli,Sprinkler Irrigation,10228.198517926843,9364.872595722374
Nagaur,Wheat,Sprinkler Irrigation,12379.838591718528,13308.366189531193
Kota,Garlic,Drip Irrigation,18631.09132663682,17828.462763653428
Ajmer,Chilli,Tube Well,8264.241694729391,8443.002837000042
Bhilwara,Fenugreek,Drip Irrigation,8744.458063282698,8454.102753160047
Alwar,Citrus,Sprinkler Irrigation,11687.746351532394,11502.90229148163
Udaipur,Gram,Tube Well,7189.090151369604,6460.914891180668
Udaipur,Opium,Canal Irrigation,12951.166963243913,12032.384089527677
Udaipur,Onion,Drip Irrigation,9815.154578804137,9729.0461118271
Sri Ganganagar,Fenugreek,Tube Well,8345.46703498273,8160.031475986966
Alwar,Bajra,Drip Irrigation,13978.142475382785,14583.015275430134
Udaipur,Oilseeds,Drip Irrigation,16822.457365733197,16805.75411282305
Jodhpur,Pomegranate,Tube Well,11877.617820777426,12230.655149572112
Jodhpur,Pulses,Tube Well,9004.616852084248,9185.731316748272
Jodhpur,Oilseeds,Drip Irrigation,8050.000574835967,7448.173345852202
Ajmer,Coriander,Tube Well,6960.644618107786,7636.862880790704
Bhilwara,Cotton,Canal Irrigation,11782.138985859468,12384.107447787705
Alwar,Guava,Tube Well,11923.863009853036,12824.140645374382
Bhilwara,Chilli,Canal Irrigation,8232.959471536062,8142.228955043288
Jodhpur,Cotton,Tube Well,9996.419334837983,10253.161394164199
Kota,Wheat,Drip Irrigation,12586.055656141323,13246.68059338104
Bhilwara,Fenugreek,Drip Irrigation,14834.22867240389,14599.494637933925
Udaipur,Pulses,Canal Irrigation,12581.685610400471,11774.352867592777
Jodhpur,Fenugreek,Tube Well,10183.387351224497,9587.250860127924
Bhilwara,Onion,Canal Irrigation,10221.735228270967,10840.698423053585
Hanumangarh,Garlic,Drip Irrigation,14881.132921301873,13944.32996768179
Alwar,Gram,Tube Well,11257.243792202467,11962.992370755914
Bhilwara,Tomato,Drip Irrigation,5986.049263796483,6099.382364762266
Sri Ganganagar,Opium,Sprinkler Irrigation,8467.326203570508,7736.302687995273
Alwar,Onion,Drip Irrigation,11808.797364004042,11789.904787608748
Hanumangarh,Fenugreek,Tube Well,9629.843677297018,10338.546616394764
Hanumangarh,Barley,Tube Well,7374.706138521665,7556.796375824307
Alwar,Coriander,Canal Irrigation,12092.941431726795,11661.816510888957
Jaipur,Wheat,Drip Irrigation,7021.777144054195,6754.597332291575
Nagaur,Wheat,Canal Irrigation,8855.17885323637,8711.47523377327
Udaipur,Citrus,Canal Irrigation,5072.651298959502,4561.10907180474
Ajmer,Fennel,Canal Irrigation,12349.410835243,13170.188872671724
Jodhpur,Sugarcane,Drip Irrigation,10190.624781572742,9230.048761964017
Udaipur,Barley,Tube Well,12696.518434146712,12541.464514116855
Hanumangarh,Citrus,Canal Irrigation,5480.11881656273,5419.51861906854
Jaipur,Mango,Tube Well,10908.85767715624,10553.700414660167
Jodhpur,Onion,Drip Irrigation,12209.808084029355,11621.624715822845
Bhilwara,Chilli,Canal Irrigation,7948.719494120022,7547.7612893042515
Alwar,Bajra,Tube Well,12502.225875453534,13450.440403226641
Jodhpur,Garlic,Sprinkler Irrigation,7955.823722114245,7050.886444340034
Nagaur,Pomegranate,Sprinkler Irrigation,11716.438881538881,12632.321008406023
Nagaur,Gram,Canal Irrigation,8847.156613362826,8980.013202936234
Hanumangarh,Onion,Tube Well,9035.9544752823,9627.25797397752
Sri Ganganagar,Chilli,Canal Irrigation,10593.387725600547,10673.28288391157
Ajmer,Citrus,Tube Well,8913.2530968281,8943.99156161911
Hanumangarh,Oilseeds,Drip Irrigation,11748.25844183641,11780.706671964546
Kota,Cumin,Tube Well,9033.175840489881,9957.409989706115
Bhilwara,Cotton,Tube Well,15002.262213567737,15455.492350599388
Jaipur,Chilli,Sprinkler Irrigation,8479.514014091956,7775.001391741113
Kota,Fenugreek,Canal Irrigation,15505.273858628016,15325.794383586584
Jodhpur,Fennel,Sprinkler Irrigation,14563.807623195647,14097.677140398482
Sri Ganganagar,Fennel,Sprinkler Irrigation,7939.937867754027,8142.402407105041
Alwar,Maize,Drip Irrigation,6997.24919129482,6052.657538627098
Sri Ganganagar,Tomato,Tube Well,11365.797788793954,11238.063610817393
Jaipur,Bajra,Sprinkler Irrigation,8846.002979935683,7904.286715127459
Sri Ganganagar,Fenugreek,Sprinkler Irrigation,12031.422519576367,11115.887262770155
Bhilwara,Wheat,Drip Irrigation,14163.877590402428,13331.736672533587
Nagaur,Sugarcane,Drip Irrigation,16502.993414875997,16317.007117995352
Udaipur,Fenugreek,Drip Irrigation,10597.742502795665,11277.363450100547
Kota,Maize,Drip Irrigation,11351.104832559919,11351.601889594522
Jodhpur,Chilli,Canal Irrigation,11453.429467564556,10633.92704293816
Nagaur,Gram,Canal Irrigation,8038.062839831013,8206.715280993425
Alwar,Maize,Tube Well,8278.907986841326,7492.536013314167
Ajmer,Cotton,Tube Well,11425.95264834646,12151.75251570051
Jaipur,Onion,Canal Irrigation,12028.438120062354,11254.360813620242
Hanumangarh,Citrus,Tube Well,11115.224625387542,12041.855305318792
Kota,Guava,Tube Well,11629.774598186652,12272.50533057055
Jaipur,Fennel,Drip Irrigation,12094.269806341927,12418.716675222635
Jaipur,Opium,Sprinkler Irrigation,7627.310714730009,7396.691139784864
Udaipur,Fenugreek,Drip Irrigation,10413.521506481204,9886.285296040316
Bhilwara,Pomegranate,Drip Irrigation,12193.869090437394,11979.820226899894
Sri Ganganagar,Sugarcane,Drip Irrigation,14449.434058290164,14962.769915613877
Sri Ganganagar,Bajra,Sprinkler Irrigation,15528.132142730918,15790.83754804346
Alwar,Barley,Canal Irrigation,12545.479199841033,13191.874760633966
Bhilwara,Onion,Tube Well,16516.896430691613,16182.340860169454
Alwar,Gram,Sprinkler Irrigation,12913.916198874265,12926.585226714868
Udaipur,Citrus,Canal Irrigation,11118.11461628748,10172.816402954222
Jaipur,Fennel,Sprinkler Irrigation,10903.62158715328,11485.660222781187
Kota,Wheat,Tube Well,8467.26546540065,8078.360540914397
Nagaur,Mustard,Drip Irrigation,6610.143110074755,6642.874892176802
Kota,Coriander,Tube Well,14303.01219457487,13941.810453050679
Bhilwara,Pulses,Canal Irrigation,7691.244304456919,7877.285135467985
Udaipur,Sugarcane,Sprinkler Irrigation,7133.565728908707,6868.764855240055
Alwar,Pomegranate,Sprinkler Irrigation,5459.316999637401,4505.257189045351
Hanumangarh,Fennel,Sprinkler Irrigation,12894.040646045854,13842.2957895456
Ajmer,Cotton,Sprinkler Irrigation,6833.1422244262885,7069.150323578486
Nagaur,Cotton,Sprinkler Irrigation,6156.527636076906,5892.367944297931
Nagaur,Gram,Drip Irrigation,13044.741716778171,12915.05918740857
Bhilwara,Fenugreek,Tube Well,6100.508015660505,6527.63543958986
Ajmer,Cotton,Canal Irrigation,13796.694148570361,13560.84117883747
Alwar,Bajra,Sprinkler Irrigation,13113.398314287464,12679.33280435286
Ajmer,Citrus,Sprinkler Irrigation,10211.161932281699,9503.04763651256
Sri Ganganagar,Cotton,Sprinkler Irrigation,12282.296599456238,13096.953069402116
Udaipur,Cumin,Tube Well,6299.818711349865,6237.581927446101
Udaipur,Opium,Tube Well,12890.67771950633,13317.349617625414
Alwar,Coriander,Canal Irrigation,6830.890015493443,6944.889964274461
Jaipur,Mango,Sprinkler Irrigation,9686.704405704371,9395.307772865219
Nagaur,Fenugreek,Drip Irrigation,5438.249894309379,5447.33388982535
Alwar,Sugarcane,Tube Well,9678.090295619617,8942.566803045785
Hanumangarh,Barley,Sprinkler Irrigation,8634.32478743153,8641.818231111933
Udaipur,Tomato,Sprinkler Irrigation,5741.696897283396,6162.208046606736
Alwar,Pulses,Canal Irrigation,7118.811216222247,6207.135539198666
Kota,Onion,Canal Irrigation,12395.029920871057,13247.504005815872
Sri Ganganagar,Cotton,Canal Irrigation,11376.228274717105,11247.779011929282
Kota,Mango,Tube Well,12484.253173600146,11786.782665913928
Bhilwara,Barley,Sprinkler Irrigation,7095.852075264301,6555.573166402743
Jaipur,Onion,Canal Irrigation,8018.848007134954,7953.113686798819
Jodhpur,Onion,Drip Irrigation,10307.853251903469,11285.490419312966
Hanumangarh,Onion,Tube Well,10766.865664626663,11458.542366526488
Kota,Gram,Canal Irrigation,7163.283216558158,7899.629435801512
Kota,Oilseeds,Canal Irrigation,9369.466939081669,9695.742296472272
Ajmer,Cumin,Drip Irrigation,11546.486122084414,11688.061744353461
Alwar,Mustard,Sprinkler Irrigation,13705.24024420113,14059.057276393854
Udaipur,Wheat,Canal Irrigation,10898.390336666438,11259.669155541855
Alwar,Guava,Drip Irrigation,13202.485778852957,12510.036716220553
Jodhpur,Tomato,Tube Well,10046.852342050624,10957.255403996636
Nagaur,Fenugreek,Drip Irrigation,8844.268048973647,7931.962048028268
Nagaur,Tomato,Canal Irrigation,15011.756121296608,16011.398340457397
Nagaur,Pulses,Sprinkler Irrigation,15740.431457983403,16343.547383826583
Sri Ganganagar,Mango,Drip Irrigation,14067.416243968542,14161.72868758106
Nagaur,Pomegranate,Drip Irrigation,8331.344158906848,7687.365760465774
Alwar,Mustard,Drip Irrigation,14521.551381176943,13847.432748927453
Alwar,Sugarcane,Sprinkler Irrigation,8027.02264421334,8008.712839432565
Alwar,Sugarcane,Sprinkler Irrigation,9588.476682217606,8780.699677261195
Udaipur,Chilli,Sprinkler Irrigation,11541.947810602041,12312.773887885804
Bhilwara,Cotton,Tube Well,8182.760002954727,8027.832701711695
Udaipur,Coriander,Sprinkler Irrigation,10921.137569463443,10773.17176710606
Jaipur,Chilli,Canal Irrigation,15127.411793933654,15480.291857947705
Kota,Onion,Drip Irrigation,9516.809646994006,9391.520684856056
Bhilwara,Sugarcane,Sprinkler Irrigation,15072.945746839408,15441.573621435879
Sri Ganganagar,Maize,Tube Well,8680.0331503779,7775.489699172919
Jodhpur,Barley,Drip Irrigation,10223.51050342296,10049.549312461426
Bhilwara,Fenugreek,Canal Irrigation,10637.32123043492,10808.456999947715
Hanumangarh,Wheat,Drip Irrigation,11628.134621690746,11553.89250934553
Kota,Pomegranate,Drip Irrigation,7783.904317426316,8537.415011697321
Sri Ganganagar,Mango,Tube Well,13456.823657807303,13356.719469243038
Sri Ganganagar,Mango,Sprinkler Irrigation,6794.217285420085,5950.658344339356
Nagaur,Cotton,Drip Irrigation,10268.31714118815,9304.147579412333
Alwar,Gram,Drip Irrigation,5961.018345394347,5915.258093219061
Alwar,Fenugreek,Tube Well,9270.968082428504,9897.233041613656
Nagaur,Guava,Tube Well,14413.969484412683,13589.239745657002
Kota,Wheat,Sprinkler Irrigation,6592.13611520169,5623.906608232721
Ajmer,Wheat,Sprinkler Irrigation,10457.680190138173,9747.988571006308
Ajmer,Citrus,Sprinkler Irrigation,8098.752695804994,8638.194988605921
Kota,Onion,Tube Well,5882.973021388557,5215.184007740752
Kota,Opium,Tube Well,13120.875936312124,13063.854333616358
Bhilwara,Cumin,Sprinkler Irrigation,8969.528013314573,9108.388936805259
Alwar,Barley,Canal Irrigation,7262.329409817388,7523.149170492066
Alwar,Citrus,Tube Well,12638.373823058402,12830.05292421378
Hanumangarh,Sugarcane,Drip Irrigation,11438.122672003687,11410.324593248482
Nagaur,Coriander,Tube Well,9172.024047807055,8293.433412273556
Jaipur,Citrus,Canal Irrigation,10164.105366294296,9699.803107994665
Alwar,Onion,Drip Irrigation,9945.804199045175,10823.733151115945
Udaipur,Tomato,Tube Well,6948.836672280033,6524.858235187268
Ajmer,Onion,Canal Irrigation,11618.405253639075,11633.677144096084
Nagaur,Fenugreek,Canal Irrigation,15100.293479114109,15807.201062029939
Bhilwara,Pulses,Canal Irrigation,11406.57517512807,11187.31764097883
Alwar,Fenugreek,Canal Irrigation,15779.472333764717,16378.982451697002
Kota,Coriander,Sprinkler Irrigation,8088.553493672884,8587.062097337996
Bhilwara,Pulses,Sprinkler Irrigation,7534.106106686366,7745.604121198811
Jodhpur,Citrus,Tube Well,9031.826119733782,8450.69200244088
Jaipur,Wheat,Canal Irrigation,16092.813680548303,15806.901430222144
Kota,Oilseeds,Drip Irrigation,14393.826452646068,14069.295961869477
Jodhpur,Coriander,Sprinkler Irrigation,7380.173966614751,6828.36524409436
Sri Ganganagar,Mango,Canal Irrigation,13523.13612545464,14063.325911377906
Hanumangarh,Cotton,Sprinkler Irrigation,13740.204329284716,14487.595680081347
Nagaur,Fenugreek,Drip Irrigation,13047.373212415954,13900.637409322457
Bhilwara,Tomato,Drip Irrigation,11035.2873942164,11598.592185228397
Nagaur,Gram,Drip Irrigation,10252.36347286391,9586.45606948313
Jodhpur,Bajra,Canal Irrigation,7592.191945521629,7176.437920958843
Bhilwara,Chilli,Tube Well,11143.498804482302,10342.087282366472
Udaipur,Mango,Sprinkler Irrigation,7381.405459318455,6785.186119934442
Alwar,Wheat,Sprinkler Irrigation,13237.011818185616,13184.338483427931
Sri Ganganagar,Chilli,Sprinkler Irrigation,7955.053549886496,7699.926264692094
Alwar,Guava,Sprinkler Irrigation,8522.951453790756,9029.965795884973
Alwar,Maize,Sprinkler Irrigation,12600.313282212364,12427.13211970632
Alwar,Tomato,Canal Irrigation,14275.043221708587,14160.20060040575
Jaipur,Opium,Drip Irrigation,6712.993163094633,6342.602306853211
Kota,Citrus,Drip Irrigation,9108.540518589936,8182.72798598882
Kota,Cumin,Drip Irrigation,15088.225896793248,16048.320046403194
Hanumangarh,Sugarcane,Tube Well,8888.707745250778,9250.449060090952
Hanumangarh,Sugarcane,Canal Irrigation,12579.517166782887,11595.321633790458
Sri Ganganagar,Chilli,Sprinkler Irrigation,13068.755745973094,12961.133847379779
